ablation;best_epoch_mean;best_epoch_std;best_epoch_min;best_epoch_max;val_mean_f1_mean;val_mean_f1_std;test_mean_f1_mean;test_mean_f1_std;test_mean_iou_mean;test_mean_iou_std;test_mean_iou_all_mean;test_mean_iou_all_std;test_f1_VT_mean;test_f1_VT_std;test_iou_VT_mean;test_iou_VT_std;test_f1_LP_mean;test_f1_LP_std;test_iou_LP_mean;test_iou_LP_std;test_f1_TR_mean;test_f1_TR_std;test_iou_TR_mean;test_iou_TR_std;test_f1_AV_mean;test_f1_AV_std;test_iou_AV_mean;test_iou_AV_std;test_f1_IC_mean;test_f1_IC_std;test_iou_IC_mean;test_iou_IC_std
musseg_pi_se_lsa_ba_dist_both_wskip_depth_4_root_24;11,0;0,0;11,0;11,0;0,8863303017057211;0,0;0,8828101084308739;0,0;0,7921525215919034;0,0;0,6734937033371668;0,0;0,931726907630522;0,0;0,8721804511278195;0,0;0,8466579292267365;0,0;0,7340909090909091;0,0;0,9096916299559471;0,0;0,8343434343434344;0,0;0,8348348348348347;0,0;0,7164948453608248;0,0;0,8911392405063293;0,0;0,8036529680365296;0,0
musseg_pi_se_lsa_ba_depth_4_root_16;46,0;0,0;46,0;46,0;0,8899437057462853;0,0;0,8818980629284404;0,0;0,7912643429222902;0,0;0,6672394368880373;0,0;0,936205468102734;0,0;0,8800623052959502;0,0;0,8397350993377484;0,0;0,723744292237443;0,0;0,9130890052356021;0,0;0,8400770712909441;0,0;0,8271604938271604;0,0;0,7052631578947368;0,0;0,8933002481389578;0,0;0,8071748878923767;0,0
musseg_d4_r16_s122;32,0;0,0;32,0;32,0;0,8835647878549245;0,0;0,8806789220147765;0,0;0,7895586682314926;0,0;0,6598642485835303;0,0;0,9342214820982514;0,0;0,8765625;0,0;0,8511749347258486;0,0;0,740909090909091;0,0;0,919957310565635;0,0;0,8517786561264822;0,0;0,8138801261829653;0,0;0,6861702127659575;0,0;0,884160756501182;0,0;0,7923728813559322;0,0
musseg_d4_r16_s222_k3;60,0;0,0;60,0;60,0;0,8894974596825849;0,0;0,8790263340475463;0,0;0,7879180434853683;0,0;0,658232176104872;0,0;0,9404958677685951;0,0;0,8876755070202809;0,0;0,8346666666666667;0,0;0,7162471395881007;0,0;0,9125000000000001;0,0;0,8390804597701149;0,0;0,802469135802469;0,0;0,6701030927835051;0,0;0,9049999999999999;0,0;0,8264840182648402;0,0
phasenet_bottleneck_attention;28,6;5,782732917920384;18,0;35,0;0,8845266636948514;0,004309550666367247;0,8789202995513294;0,007035547534074627;0,7869563653874427;0,01011690125202085;0,651560580997279;0,006525499571986813;0,9328981307327545;0,0014561300917165644;0,874238797317938;0,0025575132920299614;0,8372303267036459;0,016183709429401144;0,7203610911517844;0,02371084513223372;0,9130876692358084;0,010538274521712113;0,840245629360928;0,017618525455871902;0,8181445827300904;0,020299442766650164;0,6927459543074725;0,028624066133991023;0,8932407883543488;0,008705968064343575;0,8071903547990896;0,014309284708342527
musseg_pi_se_lsa_ba_depth_3_root_48;40,0;0,0;40,0;40,0;0,8880104817113658;0,0;0,8682333333413286;0,0;0,7708965818119486;0,0;0,6538891228499107;0,0;0,933552091878589;0,0;0,8753846153846154;0,0;0,8382923673997411;0,0;0,7216035634743875;0,0;0,9094781682641108;0,0;0,833984375;0,0;0,7854984894259819;0,0;0,6467661691542289;0,0;0,87434554973822;0,0;0,7767441860465116;0,0
musseg_d4_r16_s222_k3_d1122;31,0;0,0;31,0;31,0;0,891666197058754;0,0;0,8674247870324896;0,0;0,7705903005519696;0,0;0,6562326384692116;0,0;0,930116472545757;0,0;0,8693623639191291;0,0;0,8194271481942714;0,0;0,6940928270042194;0,0;0,9073684210526316;0,0;0,8304431599229287;0,0;0,7763157894736843;0,0;0,6344086021505376;0,0;0,9038961038961038;0,0;0,8246445497630331;0,0
musseg_pi_se_lsm_attn_ba;21,4;8,979977728257458;9,0;30,0;0,8626560361540813;0,02747539823159204;0,8621456158166337;0,01784780983797074;0,7623719491549721;0,02642375884529011;0,6478232831100572;0,025130085189948952;0,9220867481217198;0,008570726764076893;0,8555540352590487;0,01473465565923512;0,8496511810814822;0,030388323865004643;0,7398147120831917;0,045874329277331254;0,920026198854821;0,016029427358497023;0,8523051516323289;0,027515134639382204;0,7874553877406669;0,04167354321762747;0,6513792285969705;0,05691686862028732;0,8315085632844788;0,031150551596207256;0,7128066182033209;0,0449526057063713
musseg_pi_se_lsm_sum_ba;41,4;28,160965892525773;5,0;76,0;0,8678677011827668;0,02670370165688222;0,8584653466374629;0,03139787650094497;0,7587019302937945;0,043287359252828374;0,6423502668427158;0,025502572708003598;0,9279632980691017;0,00901888745912957;0,8657403783262614;0,015763045347397052;0,8560306198700112;0,022137192431252957;0,7489381992001176;0,03305741051119771;0,9245969223065277;0,020000510340839467;0,860403967308357;0,03420989052527297;0,794445315005536;0,06343666787303434;0,66326296161322;0,08125944284607116;0,7892905779361377;0,054459443352282644;0,6551641450210172;0,07206655688284651
musseg_pi_se_lsm_attn_ba_pbam;17,8;11,54816002660164;2,0;37,0;0,8653273697724598;0,018079257564264567;0,8530860339315354;0,027314299243768585;0,7487371080015139;0,03953431727400835;0,6301858856517976;0,039428670061811444;0,9119947957428952;0,021739764303606888;0,8389573686041597;0,03657967419356726;0,8454891756712503;0,023897006570882985;0,7330842920498838;0,03618860158159377;0,9080740046426021;0,018754694424901134;0,8321652792353291;0,031402368267163104;0,8052558981264907;0,02522423127860851;0,6747475039692985;0,035474763367605626;0,7946162954744385;0,07149221141714249;0,6647310961488989;0,09295998872480425
musseg_pi_se_lsm_sum_ba_pbam;18,8;5,2687759489277965;14,0;28,0;0,8525789171016136;0,029943802412178686;0,8515419332435528;0,015392401800382411;0,746025991145103;0,0213785063936815;0,6314280517235672;0,030421870269295482;0,9166069070555197;0,007403687690784782;0,846138273876296;0,012622791529368594;0,8336792976486054;0,010814919026801106;0,7149415557078033;0,015889487978459536;0,9093826020580649;0,0186737309429052;0,8343552119527041;0,03104754096178219;0,7809057934372239;0,0472360158633638;0,6429285543405772;0,061093267557296715;0,81713506601835;0,02823721253432688;0,6917663598481344;0,040067097270428044
phasenet;10,4;3,8781438859330635;4,0;14,0;0,8179790511186521;0,009705463032838781;0,8081550235670232;0,01637135083101874;0,6856473569794957;0,02177098307557484;0,4907290527694256;0,010431289446918136;0,9057549213748326;0,010559974320277743;0,8279142842183511;0,01763413448448341;0,7611778376536928;0,01848920596367376;0,614796960544101;0,02413757429352117;0,8466429599877003;0,012210089197152265;0,7342622632728222;0,018312766557630738;0,6846259067305157;0,033933273226953546;0,5214704249337241;0,03839804186276956;0,8425734920883743;0,03808016936944816;0,7297928519284802;0,05538370325366356
musseg_pi_se_lsa_ba_depth_6_root_8;24,0;20,0;4,0;44,0;0,7909062997392955;0,10026242952995651;0,796416426635828;0,10205225773290721;0,6916136433419877;0,12592534704743336;0,5996257808638035;0,09826937877932107;0,6755667147497306;0,26409539305397;0,5726089431920778;0,31358225559396163;0,6855345911949684;0,17160826594788864;0,5479141475211609;0,20208585247883917;0,896354212474714;0,03431805643284913;0,8139295359121105;0,056404452300070296;0,8162368881118881;0,04001311188811185;0,6914597970335675;0,057174082747853294;0,9083897266478393;0,00022646134171683263;0,8321557930510217;0,0003800921164423543
